blinded_item_id,domain,dataset,task,candidate_unit,asset_ref,context_ref,audit_question,external_label,external_uncertain_reason,external_confidence,external_reviewer_id,external_review_timestamp
EXTAUD-00104,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img994_d001_animal,location=470 video=47004 frame=193,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00105,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img934_d001_animal,location=470 video=47003 frame=133,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00106,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4926_d001_animal,location=526 video=52603 frame=125,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00107,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4167_d001_animal,location=449 video=44904 frame=166,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00108,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5441_d001_animal,location=176 video=17601 frame=40,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00109,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img922_d001_animal,location=470 video=47003 frame=121,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00110,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img324_d001_animal,location=3 video=303 frame=123,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00111,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2231_d001_animal,location=218 video=21800 frame=30,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00112,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2335_d001_animal,location=218 video=21803 frame=134,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00113,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3251_d001_animal,location=57 video=5701 frame=50,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00114,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::6865->6865::d720c54c0f507a41->d720c54c0f507a41,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00115,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img825_d001_animal,location=470 video=47000 frame=24,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00116,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5495_d001_animal,location=176 video=17602 frame=94,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00117,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4969_d001_animal,location=526 video=52604 frame=168,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00118,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2250_d001_animal,location=218 video=21801 frame=49,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00119,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4052_d001_animal,location=449 video=44901 frame=51,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00120,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5973_d001_animal,location=105 video=10504 frame=172,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00121,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3341->3341::69f0459cd721fd25->69f0459cd721fd25,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00122,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img381_d001_animal,location=3 video=304 frame=180,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00123,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::5210->5210::8b84b4fbdce628e0->8b84b4fbdce628e0,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00124,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l177_img1818_d001_animal,location=177 video=17700 frame=17,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00125,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3386_d001_animal,location=57 video=5704 frame=185,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00126,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5990_d001_animal,location=105 video=10504 frame=189,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00127,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2521_d001_animal,location=519 video=51903 frame=120,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00128,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4940_d001_animal,location=526 video=52603 frame=139,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00129,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img816_d001_animal,location=470 video=47000 frame=15,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00130,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2943->2943::0359455562bdfb36->0359455562bdfb36,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00131,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2513_d001_animal,location=519 video=51902 frame=112,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00132,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5726_d001_animal,location=119 video=11903 frame=125,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00133,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5807_d001_animal,location=105 video=10500 frame=6,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00134,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4935_d001_animal,location=526 video=52603 frame=134,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00135,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::790->790::1c777f2b1a53f4a3->1c777f2b1a53f4a3,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00136,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3299_d001_animal,location=57 video=5702 frame=98,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00137,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img381_d001_animal,location=3 video=304 frame=180,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00138,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img922_d001_animal,location=470 video=47003 frame=121,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00139,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2599_d001_animal,location=519 video=51904 frame=198,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00140,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::5239->5239::e1063a5287270e46->e1063a5287270e46,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00141,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::6938->6938::d8029fa359dbdcf5->d8029fa359dbdcf5,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00142,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5907_d001_animal,location=105 video=10502 frame=106,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00143,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l408_img3435_d001_animal,location=408 video=40800 frame=34,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00144,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5898_d001_animal,location=105 video=10502 frame=97,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00145,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::3576->3576::70171a98a8d1c583->70171a98a8d1c583,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00146,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::1562->1563::9b57217ba6fb1f85->9b57217ba6fb1f85,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00147,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5561_d001_animal,location=176 video=17603 frame=160,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00148,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4027_d001_animal,location=449 video=44900 frame=26,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00149,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5435_d001_animal,location=176 video=17600 frame=34,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00150,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4942_d001_animal,location=526 video=52603 frame=141,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00151,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l212_img122_d001_animal,location=212 video=21203 frame=121,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00152,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5556_d001_animal,location=176 video=17603 frame=155,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00153,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::4635->4635::3471bef16718c8df->3471bef16718c8df,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00154,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4869_d001_animal,location=526 video=52601 frame=68,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00155,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l497_img1108_d001_animal,location=497 video=49702 frame=107,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00156,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5416_d001_animal,location=176 video=17600 frame=15,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00157,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img820_d001_animal,location=470 video=47000 frame=19,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00158,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5900_d001_animal,location=105 video=10502 frame=99,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00159,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3361_d001_animal,location=57 video=5703 frame=160,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00160,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l529_img5316_d001_animal,location=529 video=52902 frame=115,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00161,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3299_d001_animal,location=57 video=5702 frame=98,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00162,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3317_d001_animal,location=57 video=5702 frame=116,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00163,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img327_d001_animal,location=3 video=303 frame=126,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00164,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1983->1983::5d663a0785b9b39f->5d663a0785b9b39f,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00165,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2467_d001_animal,location=519 video=51901 frame=66,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00166,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l3_img371_d001_animal,location=3 video=304 frame=170,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00167,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4087_d001_animal,location=449 video=44902 frame=86,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00168,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4845_d001_animal,location=526 video=52601 frame=44,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00169,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l529_img5307_d001_animal,location=529 video=52902 frame=106,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00170,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l210_img626_d001_animal,location=210 video=21000 frame=25,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00171,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5548_d001_animal,location=176 video=17603 frame=147,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00172,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::2954->2954::bb304c973ee11aef->bb304c973ee11aef,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00173,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2218->2218::62857fe64b6655f0->62857fe64b6655f0,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00174,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5425_d001_animal,location=176 video=17600 frame=24,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00175,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5556_d001_animal,location=176 video=17603 frame=155,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00176,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::1617->1617::11add4b455079273->11add4b455079273,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00177,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2550_d001_animal,location=519 video=51903 frame=149,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00178,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4935_d001_animal,location=526 video=52603 frame=134,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00179,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4191_d001_animal,location=449 video=44904 frame=190,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00180,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l470_img905_d001_animal,location=470 video=47002 frame=104,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00181,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l177_img1979_d001_animal,location=177 video=17704 frame=178,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00182,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4018->4018::4c97ad1807d04cdb->4c97ad1807d04cdb,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00183,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2520_d001_animal,location=519 video=51902 frame=119,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00184,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l177_img1969_d001_animal,location=177 video=17704 frame=168,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00185,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::4094->4094::f5b80da7afabb4a8->f5b80da7afabb4a8,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00186,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3270_d001_animal,location=57 video=5701 frame=69,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00187,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::98->98::773915d5c5e96ad3->773915d5c5e96ad3,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00188,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l529_img5215_d001_animal,location=529 video=52900 frame=14,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00189,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l449_img4170_d001_animal,location=449 video=44904 frame=169,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00190,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l519_img2575_d001_animal,location=519 video=51904 frame=174,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00191,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0632E-0892N_2528_4620_13::2019-12->2020-01::1991->1991::1879450da5f759ec->1879450da5f759ec,aoi=L15-0632E-0892N_2528_4620_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00192,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l210_img655_d001_animal,location=210 video=21001 frame=54,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00193,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0632E-0892N_2528_4620_13::2019-12->2020-01::265->265::9feec391221c21a3->9feec391221c21a3,aoi=L15-0632E-0892N_2528_4620_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00194,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l105_img5852_d001_animal,location=105 video=10501 frame=51,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00195,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::2391->2391::ffbd72c211f90228->ffbd72c211f90228,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00196,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0632E-0892N_2528_4620_13::2019-12->2020-01::401->401::0786c1622cda6c2b->0786c1622cda6c2b,aoi=L15-0632E-0892N_2528_4620_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00197,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::649->649::b54bf4866ce75149->b54bf4866ce75149,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00198,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4865_d001_animal,location=526 video=52601 frame=64,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00199,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0760E-0887N_3041_4643_13::2019-12->2020-01::7290->7290::5bb41bba7dc430fd->5bb41bba7dc430fd,aoi=L15-0760E-0887N_3041_4643_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00200,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::7604->7604::a170e91ce2a9e0dc->a170e91ce2a9e0dc,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00201,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l57_img3316_d001_animal,location=57 video=5702 frame=115,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00202,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0586E-1127N_2345_3680_13::2019-12->2020-01::551->551::92a13a5a3b123bbf->92a13a5a3b123bbf,aoi=L15-0586E-1127N_2345_3680_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00203,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l119_img5697_d001_animal,location=119 video=11902 frame=96,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00204,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4943_d001_animal,location=526 video=52603 frame=142,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00205,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l212_img34_d001_animal,location=212 video=21200 frame=33,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00206,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l456_img533_d001_animal,location=456 video=45603 frame=132,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00207,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l526_img4866_d001_animal,location=526 video=52601 frame=65,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00208,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l392_img3059_d001_animal,location=392 video=39201 frame=58,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00209,earth_observation,SpaceNet7,same_building_temporal_link_review,same-building temporal link,SN7::L15-0595E-1278N_2383_3079_13::2019-12->2020-01::211->211::8e0694483045701a->8e0694483045701a,aoi=L15-0595E-1278N_2383_3079_13 2019-12->2020-1,Do the source and target footprints correspond to the same building? label same_building / not_same_building / uncertain.,,,,,
EXTAUD-00210,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l176_img5545_d001_animal,location=176 video=17603 frame=144,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00211,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l218_img2221_d001_animal,location=218 video=21800 frame=20,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
EXTAUD-00212,ecological_camera_traps,iWildCam2022,animal_present_box_review,animal-present detection box,iwildcam_l212_img151_d001_animal,location=212 video=21203 frame=150,Does the localized candidate show an animal present? label animal / not_animal / uncertain.,,,,,
