dataset,task,detector,alpha1,seed,stratification_dimension,stratum,certification_state,count,rate_within_scope,certification_scope_count
LVIS,single_frame_detection,GroundingDINO,0.2,2,object_area,small,refused,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,common,released,2,1.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,common,refused,0,0.0,2
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,frequent,released,148,1.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,frequent,refused,0,0.0,148
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,GroundingDINO,0.2,2,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,large,released,0,0.0,107
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,large,refused,107,1.0,107
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,medium,released,0,0.0,35
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,medium,refused,35,1.0,35
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,small,released,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.1,0,object_area,small,refused,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,common,released,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,common,refused,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,frequent,released,0,0.0,149
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,frequent,refused,149,1.0,149
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.1,0,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,large,released,0,0.0,107
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,large,refused,107,1.0,107
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,medium,released,0,0.0,35
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,medium,refused,35,1.0,35
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,small,released,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.1,1,object_area,small,refused,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,common,released,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,common,refused,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,frequent,released,0,0.0,149
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,frequent,refused,149,1.0,149
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.1,1,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,large,released,3,0.028037383177570093,107
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,large,refused,104,0.9719626168224299,107
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,medium,released,2,0.05714285714285714,35
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,medium,refused,33,0.9428571428571428,35
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,small,released,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.1,2,object_area,small,refused,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,common,released,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,common,refused,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,frequent,released,5,0.03355704697986577,149
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,frequent,refused,144,0.9664429530201343,149
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.1,2,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,large,released,107,1.0,107
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,large,refused,0,0.0,107
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,medium,released,35,1.0,35
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,medium,refused,0,0.0,35
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,small,released,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.2,0,object_area,small,refused,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,common,released,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,common,refused,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,frequent,released,149,1.0,149
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,frequent,refused,0,0.0,149
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.2,0,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,large,released,107,1.0,107
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,large,refused,0,0.0,107
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,medium,released,35,1.0,35
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,medium,refused,0,0.0,35
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,small,released,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.2,1,object_area,small,refused,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,common,released,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,common,refused,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,frequent,released,149,1.0,149
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,frequent,refused,0,0.0,149
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.2,1,category_frequency,rare,refused,0,,0
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,large,released,107,1.0,107
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,large,refused,0,0.0,107
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,medium,released,35,1.0,35
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,medium,refused,0,0.0,35
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,small,released,8,1.0,8
LVIS,single_frame_detection,OWLv2,0.2,2,object_area,small,refused,0,0.0,8
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,common,released,1,1.0,1
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,common,refused,0,0.0,1
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,frequent,released,149,1.0,149
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,frequent,refused,0,0.0,149
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,rare,released,0,,0
LVIS,single_frame_detection,OWLv2,0.2,2,category_frequency,rare,refused,0,,0
